'Ndrangheta 'Ndrangheta NPFSO00
abadejos abadejo NCMP000
abadenc abadenc AQ0MS0
abadenca abadenc AQ0FS0
abadencs abadenc AQ0MP0
abadenques abadenc AQ0FP0
abaderna abadernar VMIP3S00
abaderna abadernar VMM02S00
abadernà abadernar VMIS3S00
abadernada abadernar VMP00SF0
abadernades abadernar VMP00PF0
abadernant abadernar VMG00000
abadernar abadernar VMN00000
abadernarà abadernar VMIF3S00
abadernaran abadernar VMIF3P00
abadernaràs abadernar VMIF2S00
abadernaré abadernar VMIF1S00
abadernarem abadernar VMIF1P00
abadernàrem abadernar VMIS1P00
abadernaren abadernar VMIS3P00
abadernares abadernar VMIS2S00
abadernareu abadernar VMIF2P00
abadernàreu abadernar VMIS2P00
abadernaria abadernar VMCC1S00
abadernaríem abadernar VMCC1P00
abadernarien abadernar VMCC3P00
abadernaries abadernar VMCC2S00
abadernaríeu abadernar VMCC2P00
abadernat abadernar VMP00SM0
abadernats abadernar VMP00PM0
abadernava abadernar VMII1S00
abadernàvem abadernar VMII1P00
abadernaven abadernar VMII3P00
abadernaves abadernar VMII2S00
abadernàveu abadernar VMII2P00
abadernem abadernar VMIP1P00
abadernem abadernar VMM01P00
abadernem abadernar VMSP1P00
abadernen abadernar VMIP3P00
abadernes abadernar VMIP2S00
abaderneu abadernar VMIP2P00
abaderneu abadernar VMSP2P00
abaderní abadernar VMIS1S00
Abadessa Abadessa NPCNSP0
abadessa abadessa NCFS000
abadesses abadessa NCFP000
Abadia Abadia NPCNSP0
abadia abadia NCFS000
abadiat abadiat NCMS000
abadiats abadiat NCMP000
abadies abadia NCFP000
abadocar abadocar VMN00000
abaia abaia NCFS000
abaixa abaixar VMIP3S00
abaixa abaixar VMM02S00
abaixà abaixar VMIS3S00
abaixada abaixar VMP00SF0
abaixades abaixar VMP00PF0
abaixador abaixador NCMS000
abaixadora abaixador NCFS000
abaixadores abaixador NCFP000
abaixadors abaixador NCMP000
abaixadura abaixadura NCFS000
abaixadures abaixadura NCFP000
abaixallengües abaixallengües NCMN000
abaixament abaixament NCMS000
abaixaments abaixament NCMP000
abaixant abaixar VMG00000
abaixar abaixar VMN00000
abaixarà abaixar VMIF3S00
abaixaran abaixar VMIF3P00
abaixaràs abaixar VMIF2S00
abaixaré abaixar VMIF1S00
abaixarem abaixar VMIF1P00
abaixàrem abaixar VMIS1P00
abaixaren abaixar VMIS3P00
abaixares abaixar VMIS2S00
abaixareu abaixar VMIF2P00
abaixàreu abaixar VMIS2P00
abaixaria abaixar VMCC1S00
abaixaríem abaixar VMCC1P00
abaixarien abaixar VMCC3P00
abaixaries abaixar VMCC2S00
abaixaríeu abaixar VMCC2P00
abaixat abaixar VMP00SM0
abaixats abaixar VMP00PM0
abaixava abaixar VMII1S00
abaixàvem abaixar VMII1P00
abaixaven abaixar VMII3P00
abaixaves abaixar VMII2S00
abaixàveu abaixar VMII2P00
abaixem abaixar VMIP1P00
abaixem abaixar VMM01P00
abaixem abaixar VMSP1P00
abaixen abaixar VMIP3P00
abaixes abaixar VMIP2S00
abaixeu abaixar VMIP2P00
abaixeu abaixar VMSP2P00
abaixí abaixar VMIS1S00
abajocada abajocat AQ0FS0
abajocades abajocat AQ0FP0
abajocat abajocat AQ0MS0
abajocats abajocat AQ0MP0
Abakan Abakan NPCSG00
abalança abalançar VMIP3S00
abalança abalançar VMM02S00
abalançà abalançar VMIS3S00
abalançada abalançar VMP00SF0
abalançades abalançar VMP00PF0
abalançament abalançament NCMS000
abalançaments abalançament NCMP000
abalançant abalançar VMG00000
abalançar abalançar VMN00000
abalançarà abalançar VMIF3S00
abalançaran abalançar VMIF3P00
abalançaràs abalançar VMIF2S00
abalançaré abalançar VMIF1S00
abalançarem abalançar VMIF1P00
abalançàrem abalançar VMIS1P00
abalançaren abalançar VMIS3P00
abalançares abalançar VMIS2S00
abalançareu abalançar VMIF2P00
abalançàreu abalançar VMIS2P00
abalançaria abalançar VMCC1S00
abalançaríem abalançar VMCC1P00
abalançarien abalançar VMCC3P00
abalançaries abalançar VMCC2S00
abalançaríeu abalançar VMCC2P00
abalançat abalançar VMP00SM0
abalançats abalançar VMP00PM0
abalançava abalançar VMII1S00
abalançàvem abalançar VMII1P00
abalançaven abalançar VMII3P00
abalançaves abalançar VMII2S00
abalançàveu abalançar VMII2P00
abalancem abalançar VMIP1P00
abalancem abalançar VMM01P00
abalancem abalançar VMSP1P00
abalancen abalançar VMIP3P00
abalances abalançar VMIP2S00
abalanceu abalançar VMIP2P00
abalanceu abalançar VMSP2P00
abalancí abalançar VMIS1S00
abaldufada abaldufat AQ0FS0
abaldufades abaldufat AQ0FP0
abaldufat abaldufat AQ0MS0
abaldufats abaldufat AQ0MP0
abalida abalit AQ0FS0
abalides abalit AQ0FP0
abalienació abalienació NCFS000
abalienacions abalienació NCFP000
abalisa abalisar VMIP3S00
abalisa abalisar VMM02S00
abalisà abalisar VMIS3S00
abalisada abalisar VMP00SF0
abalisades abalisar VMP00PF0
abalisament abalisament NCMS000
abalisaments abalisament NCMP000
abalisant abalisar VMG00000
abalisar abalisar VMN00000
abalisarà abalisar VMIF3S00
abalisaran abalisar VMIF3P00
abalisaràs abalisar VMIF2S00
abalisaré abalisar VMIF1S00
abalisarem abalisar VMIF1P00
abalisàrem abalisar VMIS1P00
abalisaren abalisar VMIS3P00
abalisares abalisar VMIS2S00
abalisareu abalisar VMIF2P00
abalisàreu abalisar VMIS2P00
abalisaria abalisar VMCC1S00
abalisaríem abalisar VMCC1P00
abalisarien abalisar VMCC3P00
abalisaries abalisar VMCC2S00
abalisaríeu abalisar VMCC2P00
abalisat abalisar VMP00SM0
abalisats abalisar VMP00PM0
abalisava abalisar VMII1S00
abalisàvem abalisar VMII1P00
abalisaven abalisar VMII3P00
abalisaves abalisar VMII2S00
abalisàveu abalisar VMII2P00
abalisem abalisar VMIP1P00
abalisem abalisar VMM01P00
abalisem abalisar VMSP1P00
abalisen abalisar VMIP3P00
abalises abalisar VMIP2S00
abaliseu abalisar VMIP2P00
abaliseu abalisar VMSP2P00
abalisí abalisar VMIS1S00
abalit abalit AQ0MS0
abalits abalit AQ0MP0
aballesta aballestar VMIP3S00
aballesta aballestar VMM02S00
aballestà aballestar VMIS3S00
aballestada aballestar VMP00SF0
aballestades aballestar VMP00PF0
aballestant aballestar VMG00000
aballestar aballestar VMN00000
aballestarà aballestar VMIF3S00
aballestaran aballestar VMIF3P00
aballestaràs aballestar VMIF2S00
aballestaré aballestar VMIF1S00
aballestarem aballestar VMIF1P00
aballestàrem aballestar VMIS1P00
aballestaren aballestar VMIS3P00
aballestares aballestar VMIS2S00
aballestareu aballestar VMIF2P00
aballestàreu aballestar VMIS2P00
aballestaria aballestar VMCC1S00
aballestaríem aballestar VMCC1P00
aballestarien aballestar VMCC3P00
aballestaries aballestar VMCC2S00
aballestaríeu aballestar VMCC2P00
aballestat aballestar VMP00SM0
aballestats aballestar VMP00PM0
aballestava aballestar VMII1S00
aballestàvem aballestar VMII1P00
aballestaven aballestar VMII3P00
aballestaves aballestar VMII2S00
aballestàveu aballestar VMII2P00
aballestem aballestar VMIP1P00
aballestem aballestar VMM01P00
aballestem aballestar VMSP1P00
aballesten aballestar VMIP3P00
aballestes aballestar VMIP2S00
aballesteu aballestar VMIP2P00
aballesteu aballestar VMSP2P00
aballestí aballestar VMIS1S00
abalteix abaltir VMIP3S00
abalteix abaltir VMM02S00
abalteixen abaltir VMIP3P00
abalteixes abaltir VMIP2S00
abaltí abaltir VMIS1S00
abaltia abaltir VMII1S00
abaltida abaltir VMP00SF0
abaltides abaltir VMP00PF0
abaltíem abaltir VMII1P00
abaltien abaltir VMII3P00
abalties abaltir VMII2S00
abaltíeu abaltir VMII2P00
abaltim abaltir VMIP1P00
abaltim abaltir VMM01P00
abaltim abaltir VMSP1P00
abaltiment abaltiment NCMS000
abaltiments abaltiment NCMP000
abaltint abaltir VMG00000
abaltir abaltir VMN00000
abaltirà abaltir VMIF3S00
abaltiran abaltir VMIF3P00
abaltiràs abaltir VMIF2S00
abaltiré abaltir VMIF1S00
abaltirem abaltir VMIF1P00
abaltírem abaltir VMIS1P00
abaltiren abaltir VMIS3P00
abaltires abaltir VMIS2S00
abaltireu abaltir VMIF2P00
abaltíreu abaltir VMIS2P00
abaltiria abaltir VMCC1S00
abaltiríem abaltir VMCC1P00
abaltirien abaltir VMCC3P00
abaltiries abaltir VMCC2S00
abaltiríeu abaltir VMCC2P00
abaltit abaltir VMP00SM0
abaltits abaltir VMP00PM0
abaltiu abaltir VMIP2P00
abaltiu abaltir VMM02P00
abaltiu abaltir VMSP2P00
abamectina abamectina NCFS000
abancala abancalar VMIP3S00
abancala abancalar VMM02S00
abancalà abancalar VMIS3S00
abancalada abancalar VMP00SF0
abancalades abancalar VMP00PF0
abancalament abancalament NCMS000
abancalaments abancalament NCMP000
abancalant abancalar VMG00000
abancalar abancalar VMN00000
abancalarà abancalar VMIF3S00
abancalaran abancalar VMIF3P00
abancalaràs abancalar VMIF2S00
abancalaré abancalar VMIF1S00
abancalarem abancalar VMIF1P00
abancalàrem abancalar VMIS1P00
abancalaren abancalar VMIS3P00
abancalares abancalar VMIS2S00
abancalareu abancalar VMIF2P00
abancalàreu abancalar VMIS2P00
abancalaria abancalar VMCC1S00
abancalaríem abancalar VMCC1P00
abancalarien abancalar VMCC3P00
abancalaries abancalar VMCC2S00
abancalaríeu abancalar VMCC2P00
abancalat abancalar VMP00SM0
abancalats abancalar VMP00PM0
abancalava abancalar VMII1S00
abancalàvem abancalar VMII1P00
abancalaven abancalar VMII3P00
abancalaves abancalar VMII2S00
abancalàveu abancalar VMII2P00
abancalem abancalar VMIP1P00
abancalem abancalar VMM01P00
abancalem abancalar VMSP1P00
abancalen abancalar VMIP3P00
abancales abancalar VMIP2S00
abancaleu abancalar VMIP2P00
abancaleu abancalar VMSP2P00
abancalí abancalar VMIS1S00
abandera abanderar VMIP3S00
abandera abanderar VMM02S00
abanderà abanderar VMIS3S00
abanderada abanderar VMP00SF0
abanderades abanderar VMP00PF0
abanderament abanderament NCMS000
abanderaments abanderament NCMP000
abanderant abanderar VMG00000
abanderar abanderar VMN00000
abanderarà abanderar VMIF3S00
abanderaran abanderar VMIF3P00
abanderaràs abanderar VMIF2S00
abanderaré abanderar VMIF1S00
abanderarem abanderar VMIF1P00
abanderàrem abanderar VMIS1P00
abanderaren abanderar VMIS3P00
abanderares abanderar VMIS2S00
abanderareu abanderar VMIF2P00
abanderàreu abanderar VMIS2P00
abanderaria abanderar VMCC1S00
abanderaríem abanderar VMCC1P00
abanderarien abanderar VMCC3P00
abanderaries abanderar VMCC2S00
abanderaríeu abanderar VMCC2P00
abanderat abanderar VMP00SM0
abanderats abanderar VMP00PM0
abanderava abanderar VMII1S00
abanderàvem abanderar VMII1P00
abanderaven abanderar VMII3P00
abanderaves abanderar VMII2S00
abanderàveu abanderar VMII2P00
abanderem abanderar VMIP1P00
abanderem abanderar VMM01P00
abanderem abanderar VMSP1P00
abanderen abanderar VMIP3P00
abanderes abanderar VMIP2S00
abandereu abanderar VMIP2P00
abandereu abanderar VMSP2P00
abanderí abanderar VMIS1S00
abandó abandó NCMS000
abandona abandonar VMIP3S00
abandona abandonar VMM02S00
abandonà abandonar VMIS3S00
abandonada abandonar VMP00SF0
abandonadament abandonadament ZRG
abandonades abandonar VMP00PF0
abandonament abandonament NCMS000
abandonaments abandonament NCMP000
abandonant abandonar VMG00000
abandonar abandonar VMN00000
abandonarà abandonar VMIF3S00
abandonaran abandonar VMIF3P00
abandonaràs abandonar VMIF2S00
abandonaré abandonar VMIF1S00
abandonarem abandonar VMIF1P00
abandonàrem abandonar VMIS1P00
abandonaren abandonar VMIS3P00
abandonares abandonar VMIS2S00
abandonareu abandonar VMIF2P00
abandonàreu abandonar VMIS2P00
abandonaria abandonar VMCC1S00
abandonaríem abandonar VMCC1P00
abandonarien abandonar VMCC3P00
abandonaries abandonar VMCC2S00
abandonaríeu abandonar VMCC2P00
abandonat abandonar VMP00SM0
abandonats abandonar VMP00PM0
abandonava abandonar VMII1S00
abandonàvem abandonar VMII1P00
abandonaven abandonar VMII3P00
abandonaves abandonar VMII2S00
abandonàveu abandonar VMII2P00
abandonem abandonar VMIP1P00
abandonem abandonar VMM01P00
abandonem abandonar VMSP1P00
abandonen abandonar VMIP3P00
abandones abandonar VMIP2S00
abandoneu abandonar VMIP2P00
abandoneu abandonar VMSP2P00
abandoní abandonar VMIS1S00
abandonisme abandonisme NCMS000
abandonismes abandonisme NCMP000
abandonista abandonista AQ0CS0
abandonista abandonista NCCS000
abandonistes abandonista AQ0CP0
abandonistes abandonista NCCP000
abandons abandó NCMP000
abans abans ZRG
abans-d'ahir abans-d'ahir ZRG
Abarán Abarán NPCSG00
abarateix abaratir VMIP3S00
abarateix abaratir VMM02S00
abarateixen abaratir VMIP3P00
abarateixes abaratir VMIP2S00
abaratí abaratir VMIS1S00
abaratia abaratir VMII1S00
abaratida abaratir VMP00SF0
abaratides abaratir VMP00PF0
abaratíem abaratir VMII1P00
abaratien abaratir VMII3P00
abaraties abaratir VMII2S00
abaratíeu abaratir VMII2P00
abaratim abaratir VMIP1P00
abaratim abaratir VMM01P00
abaratim abaratir VMSP1P00
abaratiment abaratiment NCMS000
abaratiments abaratiment NCMP000
abaratint abaratir VMG00000
abaratir abaratir VMN00000
abaratirà abaratir VMIF3S00
abaratiran abaratir VMIF3P00
abaratiràs abaratir VMIF2S00
abaratiré abaratir VMIF1S00
abaratirem abaratir VMIF1P00
abaratírem abaratir VMIS1P00
abaratiren abaratir VMIS3P00
abaratires abaratir VMIS2S00
abaratireu abaratir VMIF2P00
abaratíreu abaratir VMIS2P00
abaratiria abaratir VMCC1S00
abaratiríem abaratir VMCC1P00
abaratirien abaratir VMCC3P00
abaratiries abaratir VMCC2S00
abaratiríeu abaratir VMCC2P00
abaratit abaratir VMP00SM0
abaratits abaratir VMP00PM0
abaratiu abaratir VMIP2P00
abaratiu abaratir VMM02P00
abaratiu abaratir VMSP2P00
abarbeta abarbetar VMIP3S00
abarbeta abarbetar VMM02S00
abarbetà abarbetar VMIS3S00
abarbetada abarbetar VMP00SF0
abarbetades abarbetar VMP00PF0
abarbetant abarbetar VMG00000
abarbetar abarbetar VMN00000
abarbetarà abarbetar VMIF3S00
abarbetaran abarbetar VMIF3P00
abarbetaràs abarbetar VMIF2S00
abarbetaré abarbetar VMIF1S00
abarbetarem abarbetar VMIF1P00
abarbetàrem abarbetar VMIS1P00
abarbetaren abarbetar VMIS3P00
abarbetares abarbetar VMIS2S00
abarbetareu abarbetar VMIF2P00
abarbetàreu abarbetar VMIS2P00
abarbetaria abarbetar VMCC1S00
abarbetaríem abarbetar VMCC1P00
abarbetarien abarbetar VMCC3P00
abarbetaries abarbetar VMCC2S00
abarbetaríeu abarbetar VMCC2P00
abarbetat abarbetar VMP00SM0
abarbetats abarbetar VMP00PM0
abarbetava abarbetar VMII1S00
abarbetàvem abarbetar VMII1P00
abarbetaven abarbetar VMII3P00
abarbetaves abarbetar VMII2S00
abarbetàveu abarbetar VMII2P00
abarbetem abarbetar VMIP1P00
abarbetem abarbetar VMM01P00
abarbetem abarbetar VMSP1P00
abarbeten abarbetar VMIP3P00
abarbetes abarbetar VMIP2S00
abarbeteu abarbetar VMIP2P00
abarbeteu abarbetar VMSP2P00
abarbetí abarbetar VMIS1S00
Abarca Abarca NPCNSP0
abarelix abarelix NCMS000
abaritonada abaritonat AQ0FS0
abaritonades abaritonat AQ0FP0
abaritonat abaritonat AQ0MS0
abaritonats abaritonat AQ0MP0
abarloa abarloar VMIP3S00
abarloa abarloar VMM02S00
abarloà abarloar VMIS3S00
abarloada abarloar VMP00SF0
abarloades abarloar VMP00PF0
abarloant abarloar VMG00000
abarloar abarloar VMN00000
abarloarà abarloar VMIF3S00
abarloaran abarloar VMIF3P00
abarloaràs abarloar VMIF2S00
abarloaré abarloar VMIF1S00
abarloarem abarloar VMIF1P00
abarloàrem abarloar VMIS1P00
abarloaren abarloar VMIS3P00
abarloares abarloar VMIS2S00
abarloareu abarloar VMIF2P00
abarloàreu abarloar VMIS2P00
abarloaria abarloar VMCC1S00
abarloaríem abarloar VMCC1P00
abarloarien abarloar VMCC3P00
abarloaries abarloar VMCC2S00
abarloaríeu abarloar VMCC2P00
abarloat abarloar VMP00SM0
abarloats abarloar VMP00PM0
abarloava abarloar VMII1S00
abarloàvem abarloar VMII1P00
abarloaven abarloar VMII3P00
abarloaves abarloar VMII2S00
abarloàveu abarloar VMII2P00
abarloem abarloar VMIP1P00
abarloem abarloar VMM01P00
abarloem abarloar VMSP1P00
abarloen abarloar VMIP3P00
abarloes abarloar VMIP2S00
abarloeu abarloar VMIP2P00
abarloeu abarloar VMSP2P00
abarloí abarloar VMIS1S00
abarnegada abarnegat AQ0FS0
abarnegades abarnegat AQ0FP0
abarnegat abarnegat AQ0MS0
abarnegats abarnegat AQ0MP0
abarognòsia abarognòsia NCFS000
abarognòsies abarognòsia NCFP000
abarona abaronar VMIP3S00
abarona abaronar VMM02S00
abaronà abaronar VMIS3S00
abaronada abaronar VMP00SF0
abaronades abaronar VMP00PF0
abaronant abaronar VMG00000
abaronar abaronar VMN00000
abaronarà abaronar VMIF3S00
abaronaran abaronar VMIF3P00
abaronaràs abaronar VMIF2S00
abaronaré abaronar VMIF1S00
abaronarem abaronar VMIF1P00
abaronàrem abaronar VMIS1P00
abaronaren abaronar VMIS3P00
abaronares abaronar VMIS2S00
abaronareu abaronar VMIF2P00
abaronàreu abaronar VMIS2P00
abaronaria abaronar VMCC1S00
abaronaríem abaronar VMCC1P00
abaronarien abaronar VMCC3P00
abaronaries abaronar VMCC2S00
abaronaríeu abaronar VMCC2P00
abaronat abaronar VMP00SM0
abaronats abaronar VMP00PM0
abaronava abaronar VMII1S00
abaronàvem abaronar VMII1P00
abaronaven abaronar VMII3P00
abaronaves abaronar VMII2S00
abaronàveu abaronar VMII2P00
abaronem abaronar VMIP1P00
abaronem abaronar VMM01P00
abaronem abaronar VMSP1P00
abaronen abaronar VMIP3P00
abarones abaronar VMIP2S00
abaroneu abaronar VMIP2P00
abaroneu abaronar VMSP2P00
abaroní abaronar VMIS1S00
abarranca abarrancar VMIP3S00
abarranca abarrancar VMM02S00
abarrancà abarrancar VMIS3S00
abarrancada abarrancar VMP00SF0
abarrancades abarrancar VMP00PF0
abarrancant abarrancar VMG00000
abarrancar abarrancar VMN00000
abarrancarà abarrancar VMIF3S00
abarrancaran abarrancar VMIF3P00
abarrancaràs abarrancar VMIF2S00
abarrancaré abarrancar VMIF1S00
abarrancarem abarrancar VMIF1P00
abarrancàrem abarrancar VMIS1P00
abarrancaren abarrancar VMIS3P00
abarrancares abarrancar VMIS2S00
abarrancareu abarrancar VMIF2P00
abarrancàreu abarrancar VMIS2P00
abarrancaria abarrancar VMCC1S00
abarrancaríem abarrancar VMCC1P00
abarrancarien abarrancar VMCC3P00
abarrancaries abarrancar VMCC2S00
abarrancaríeu abarrancar VMCC2P00
abarrancat abarrancar VMP00SM0
abarrancats abarrancar VMP00PM0
abarrancava abarrancar VMII1S00
abarrancàvem abarrancar VMII1P00
abarrancaven abarrancar VMII3P00
abarrancaves abarrancar VMII2S00
abarrancàveu abarrancar VMII2P00
abarranquem abarrancar VMIP1P00
abarranquem abarrancar VMM01P00
abarranquem abarrancar VMSP1P00
abarranquen abarrancar VMIP3P00
abarranques abarrancar VMIP2S00
abarranqueu abarrancar VMIP2P00
abarranqueu abarrancar VMSP2P00
abarranquí abarrancar VMIS1S00
abarroca abarrocar VMIP3S00
abarroca abarrocar VMM02S00
abarrocà abarrocar VMIS3S00
abarrocada abarrocar VMP00SF0
abarrocades abarrocar VMP00PF0
abarrocament abarrocament NCMS000
abarrocaments abarrocament NCMP000
abarrocant abarrocar VMG00000
abarrocar abarrocar VMN00000
abarrocarà abarrocar VMIF3S00
abarrocaran abarrocar VMIF3P00
abarrocaràs abarrocar VMIF2S00
abarrocaré abarrocar VMIF1S00
abarrocarem abarrocar VMIF1P00
abarrocàrem abarrocar VMIS1P00
abarrocaren abarrocar VMIS3P00
abarrocares abarrocar VMIS2S00
abarrocareu abarrocar VMIF2P00
abarrocàreu abarrocar VMIS2P00
abarrocaria abarrocar VMCC1S00
abarrocaríem abarrocar VMCC1P00
abarrocarien abarrocar VMCC3P00
abarrocaries abarrocar VMCC2S00
abarrocaríeu abarrocar VMCC2P00
abarrocat abarrocar VMP00SM0
abarrocats abarrocar VMP00PM0
abarrocava abarrocar VMII1S00
abarrocàvem abarrocar VMII1P00
abarrocaven abarrocar VMII3P00
abarrocaves abarrocar VMII2S00
abarrocàveu abarrocar VMII2P00
abarroquem abarrocar VMIP1P00
abarroquem abarrocar VMM01P00
abarroquem abarrocar VMSP1P00
abarroquen abarrocar VMIP3P00
abarroques abarrocar VMIP2S00
abarroqueu abarrocar VMIP2P00
abarroqueu abarrocar VMSP2P00
abarroquí abarrocar VMIS1S00
abarrota abarrotar VMIP3S00
abarrota abarrotar VMM02S00
abarrotà abarrotar VMIS3S00
abarrotada abarrotar VMP00SF0
abarrotades abarrotar VMP00PF0
abarrotant abarrotar VMG00000
abarrotar abarrotar VMN00000
abarrotarà abarrotar VMIF3S00
abarrotaran abarrotar VMIF3P00
abarrotaràs abarrotar VMIF2S00
abarrotaré abarrotar VMIF1S00
abarrotarem abarrotar VMIF1P00
abarrotàrem abarrotar VMIS1P00
abarrotaren abarrotar VMIS3P00
abarrotares abarrotar VMIS2S00
abarrotareu abarrotar VMIF2P00
abarrotàreu abarrotar VMIS2P00
abarrotaria abarrotar VMCC1S00
abarrotaríem abarrotar VMCC1P00
abarrotarien abarrotar VMCC3P00
abarrotaries abarrotar VMCC2S00
abarrotaríeu abarrotar VMCC2P00
abarrotat abarrotar VMP00SM0
abarrotats abarrotar VMP00PM0
abarrotava abarrotar VMII1S00
abarrotàvem abarrotar VMII1P00
abarrotaven abarrotar VMII3P00
abarrotaves abarrotar VMII2S00
abarrotàveu abarrotar VMII2P00
abarrotem abarrotar VMIP1P00
abarrotem abarrotar VMM01P00
abarrotem abarrotar VMSP1P00
abarroten abarrotar VMIP3P00
abarrotes abarrotar VMIP2S00
abarroteu abarrotar VMIP2P00
abarroteu abarrotar VMSP2P00
abarrotí abarrotar VMIS1S00
abarset abarset NCMS000
abarsets abarset NCMP000
abarta abarta NCFS000
abartes abarta NCFP000
abartrell abartrell NCMS000
abartrells abartrell NCMP000
Abascal Abascal NPCNSP0
abàsia abàsia NCFS000
abàsies abàsia NCFP000
abassega abassegar VMIP3S00
abassega abassegar VMM02S00
abassegà abassegar VMIS3S00
abassegada abassegar VMP00SF0
abassegades abassegar VMP00PF0
abassegador abassegador AQ0MS0
abassegador abassegador NCMS000
abassegadora abassegador AQ0FS0
abassegadora abassegador NCFS000
abassegadores abassegador AQ0FP0
abassegadores abassegador NCFP000
abassegadors abassegador AQ0MP0
abassegadors abassegador NCMP000
abassegament abassegament NCMS000
abassegaments abassegament NCMP000
abassegant abassegar VMG00000
abassegar abassegar VMN00000
abassegarà abassegar VMIF3S00
abassegaran abassegar VMIF3P00
abassegaràs abassegar VMIF2S00
abassegaré abassegar VMIF1S00
abassegarem abassegar VMIF1P00
abassegàrem abassegar VMIS1P00
abassegaren abassegar VMIS3P00
abassegares abassegar VMIS2S00
abassegareu abassegar VMIF2P00
abassegàreu abassegar VMIS2P00
abassegaria abassegar VMCC1S00
abassegaríem abassegar VMCC1P00
abassegarien abassegar VMCC3P00
abassegaries abassegar VMCC2S00
abassegaríeu abassegar VMCC2P00
abassegat abassegar VMP00SM0
abassegats abassegar VMP00PM0
abassegava abassegar VMII1S00
abassegàvem abassegar VMII1P00
abassegaven abassegar VMII3P00
abassegaves abassegar VMII2S00
